;============================ SPDUST.2 ===============================
;
;    Rotational emission from a population of spinning dust grains,
;    as described by Ali-Haimoud, Hirata & Dickinson, 2009, MNRAS, 395, 1055
;    and in Silsbee, Ali-Haimoud & Hirata, 2010
;    for an environment with parameters given below. 
;
;    nH = 10000.000 cm^-3
;    T = 10.000000 K
;    Chi = 0.00010000000
;    xh = 0.0000000
;    xC = 1.0000000e-06
;    mu(1E-7 cm) = 9.3000000 debye (this corresponds to beta = 0.38450768 debye)
;
;  Diklike grains are asssumed to spin around their axis of greatest inertia
;
;=====================================================================
;
;nu(GHz)       j_nu/nH(Jy sr-1 cm2/H)     
;
       57.053064   7.5639682e-24
       57.707626   5.0922095e-24
       58.369699   3.3931654e-24
       59.039368   2.2381499e-24
       59.716719   1.4605145e-24
       60.401842   9.4296318e-25
       61.094825   6.0207211e-25
       61.795758   3.8013346e-25
       62.504734   2.3726932e-25
       63.221843   1.4636868e-25
       63.947180   8.9236490e-26
       64.680838   5.3742662e-26
       65.422913   3.1979931e-26
       66.173503   1.8791538e-26
       66.932703   1.0906062e-26
       67.700614   6.2491560e-27
       68.477335   3.5353984e-27
       69.262967   1.9745005e-27
       70.057613   1.0884173e-27
       70.861375   5.9223991e-28
       71.674359   3.1795656e-28
       72.496671   1.6847974e-28
       73.328416   8.8055758e-29
       74.169704   4.5402252e-29
       75.020644   2.3082373e-29
       75.881347   1.1569151e-29
       76.751925   5.7145323e-30
       77.632490   2.7802687e-30
       78.523158   1.3320983e-30
       79.424045   6.2794400e-31
       80.335268   2.9124510e-31
       81.256944   1.3274811e-31
       82.189196   5.9452664e-32
       83.132142   2.6138120e-32
       84.085907   1.1275503e-32
       85.050615   4.7696941e-33
       86.026390   1.9769127e-33
       87.013361   8.0268000e-34
       88.011654   3.1889821e-34
       89.021402   1.2399934e-34
       90.042733   4.7128206e-35
       91.075783   1.7509592e-35
       92.120684   6.3537878e-36
       93.177574   2.2512598e-36
       94.246589   7.7854506e-37
       95.327869   2.6259852e-37
       96.421554   8.6394488e-38
       97.527787   2.7691804e-38
       98.646711   8.6513026e-39
       99.778473   2.6307595e-39
       100.92322   7.7877078e-40
       102.08110   2.2420888e-40
       103.25226   6.2751748e-41
       104.43686   1.7065061e-41
       105.63506   4.5045073e-42
       106.84699   1.1540835e-42
