;============================ SPDUST.2 ===============================
;
;    Rotational emission from a population of spinning dust grains,
;    as described by Ali-Haimoud, Hirata & Dickinson, 2009, MNRAS, 395, 1055
;    and in Silsbee, Ali-Haimoud & Hirata, 2010
;    for an environment with parameters given below. 
;
;    nH = 300.00000 cm^-3
;    T = 20.000000 K
;    Chi = 0.010000000
;    xh = 0.0000000
;    xC = 0.00010000000
;    mu(1E-7 cm) = 9.3000000 debye (this corresponds to beta = 0.38450768 debye)
;
;  Diklike grains are asssumed to spin around their axis of greatest inertia
;
;=====================================================================
;
;nu(GHz)       j_nu/nH(Jy sr-1 cm2/H)     
;
       145.38743   1.5308522e-21
       147.05544   1.3128695e-21
       148.74259   1.1233296e-21
       150.44910   9.5891756e-22
       152.17518   8.1654610e-22
       153.92107   6.9353585e-22
       155.68699   5.8752836e-22
       157.47316   4.9633112e-22
       159.27983   4.1806626e-22
       161.10723   3.5109768e-22
       162.95560   2.9392530e-22
       164.82517   2.4525613e-22
       166.71619   2.0397034e-22
       168.62890   1.6905235e-22
       170.56356   1.3961791e-22
       172.52041   1.1490357e-22
       174.49972   9.4226137e-23
       176.50173   7.6987222e-23
       178.52672   6.2673738e-23
       180.57493   5.0834862e-23
       182.64665   4.1076751e-23
       184.74213   3.3065943e-23
       186.86165   2.6515737e-23
       189.00550   2.1177748e-23
       191.17393   1.6844881e-23
       193.36725   1.3342887e-23
       195.58573   1.0522097e-23
       197.82966   8.2595146e-24
       200.09934   6.4535518e-24
       202.39505   5.0174909e-24
       204.71710   3.8810130e-24
       207.06580   2.9865671e-24
       209.44144   2.2858270e-24
       211.84434   1.7397674e-24
       214.27480   1.3168228e-24
       216.73315   9.9098209e-25
       219.21970   7.4138483e-25
       221.73478   5.5141369e-25
       224.27872   4.0767367e-25
       226.85184   2.9955194e-25
       229.45449   2.1875364e-25
       232.08699   1.5875236e-25
       234.74970   1.1445976e-25
       237.44295   8.1981405e-26
       240.16711   5.8326843e-26
       242.92251   4.1205007e-26
       245.70954   2.8898922e-26
       248.52853   2.0120467e-26
       251.37987   1.3900063e-26
       254.26392   9.5260635e-27
       257.18106   6.4765418e-27
       260.13167   4.3659710e-27
       263.11613   2.9176143e-27
       266.13483   1.9329519e-27
       269.18816   1.2690097e-27
       272.27652   8.2540218e-28
       275.40032   5.3193972e-28
       278.55995   3.3955214e-28
       281.75584   2.1462901e-28
       284.98839   1.3434779e-28
       288.25802   8.3255957e-29
       291.56517   5.1061453e-29
       294.91027   3.0991751e-29
       298.29374   1.8611201e-29
